Division,State,Party,Senate Vote
Bendigo,VIC,L/NP,0.28984141622727
Bendigo,VIC,ON,0.04432727199823573
Bendigo,VIC,UAPP,0.03074440145151266
Bruce,VIC,ALP,0.3675886404935976
Bruce,VIC,GRN,0.07705066982208511
Bruce,VIC,L/NP,0.3022757046866416
Bruce,VIC,ON,0.032244432235980225
Bruce,VIC,UAPP,0.07039470903942864
Calwell,VIC,ALP,0.4006828961321975
Calwell,VIC,GRN,0.07186724312733798
Calwell,VIC,L/NP,0.23587885003088183
Calwell,VIC,ON,0.03271142394331729
Calwell,VIC,UAPP,0.07464078031953945
Casey,VIC,ALP,0.2619212906379858
Casey,VIC,GRN,0.13392324615008555
Casey,VIC,L/NP,0.3510828648252261
Casey,VIC,ON,0.031170862869714006
Casey,VIC,UAPP,0.04684429234905891
Chisholm,VIC,ALP,0.36478279761122845
Chisholm,VIC,GRN,0.11948910198761153
Chisholm,VIC,L/NP,0.3585986681891212
Chisholm,VIC,ON,0.01341915665450724
Chisholm,VIC,UAPP,0.02414033527682063
Cooper,VIC,ALP,0.3587477057446045
Cooper,VIC,GRN,0.2429801059049387
Cooper,VIC,L/NP,0.16394168899390307
Cooper,VIC,ON,0.01803759414358347
Cooper,VIC,UAPP,0.033881141748064385
Corangamite,VIC,ALP,0.33549049318148494
Corangamite,VIC,GRN,0.14393665379539566
Corangamite,VIC,L/NP,0.3324404907375727
Corangamite,VIC,ON,0.02085145901559216
Corangamite,VIC,UAPP,0.028368932987927073
Corio,VIC,ALP,0.36756058355545607
Corio,VIC,GRN,0.13482002970679796
Corio,VIC,L/NP,0.26270169084582984
Corio,VIC,ON,0.029076037194538832
Corio,VIC,UAPP,0.039636193460435024
Deakin,VIC,ALP,0.30375627352572143
Deakin,VIC,GRN,0.13101866373902132
Deakin,VIC,L/NP,0.3830085476787955
Deakin,VIC,ON,0.01817361982434128
Deakin,VIC,UAPP,0.027750548933500627
Dunkley,VIC,ALP,0.3312940304041528
Dunkley,VIC,GRN,0.10661022535327318
Dunkley,VIC,L/NP,0.32860585836114203
Dunkley,VIC,ON,0.027479091995221028
Dunkley,VIC,UAPP,0.04778972520908005
Flinders,VIC,ALP,0.2516979068264307
Flinders,VIC,GRN,0.11688957390742306
Flinders,VIC,L/NP,0.41850544424004377
Flinders,VIC,ON,0.027315666484363347
Flinders,VIC,UAPP,0.0358375180231691
Fraser,VIC,ALP,0.3751836964038728
Fraser,VIC,GRN,0.15261929460580914
Fraser,VIC,L/NP,0.22354771784232366
Fraser,VIC,ON,0.01983921161825726
Fraser,VIC,UAPP,0.03602610650069156
Gellibrand,VIC,ALP,0.38161374953150934
Gellibrand,VIC,GRN,0.13203405257803716
Gellibrand,VIC,L/NP,0.2697649515446806
Gellibrand,VIC,ON,0.02126679873641377
Gellibrand,VIC,UAPP,0.0469775659902554
Gippsland,VIC,ALP,0.2394262410917974
Gippsland,VIC,GRN,0.07210344618739023
Gippsland,VIC,L/NP,0.4036904689802758
Gippsland,VIC,ON,0.07100316960410231
Gippsland,VIC,UAPP,0.044717662972159976
Goldstein,VIC,ALP,0.2549987978842763
Goldstein,VIC,GRN,0.15999158518993428
Goldstein,VIC,L/NP,0.42520836672543677
Goldstein,VIC,ON,0.010668777047603783
Goldstein,VIC,UAPP,0.02080661965058503
Gorton,VIC,ALP,0.38255026421273114
Gorton,VIC,GRN,0.06770650590624436
Gorton,VIC,L/NP,0.26653057318745815
Gorton,VIC,ON,0.03539493689728132
Gorton,VIC,UAPP,0.06761081517867586
Hawke,VIC,ALP,0.34489283303641577
Hawke,VIC,GRN,0.07902802828278357
Hawke,VIC,L/NP,0.2731125446759541
Hawke,VIC,ON,0.04515729255419207
Hawke,VIC,UAPP,0.06339282750378984
Higgins,VIC,ALP,0.27321971062252204
Higgins,VIC,GRN,0.1990525719581896
Higgins,VIC,L/NP,0.38381133824210906
Higgins,VIC,ON,0.008135523402502445
Higgins,VIC,UAPP,0.016044487925441532
Holt,VIC,ALP,0.37222246427326594
Holt,VIC,GRN,0.0685452248170094
Holt,VIC,L/NP,0.29762112234227955
Holt,VIC,ON,0.03343935169048449
Holt,VIC,UAPP,0.073904234925061
Hotham,VIC,ALP,0.3961193043582735
Hotham,VIC,GRN,0.10111234593858569
Hotham,VIC,L/NP,0.285175061824808
Hotham,VIC,ON,0.019924108170886773
Hotham,VIC,UAPP,0.047747774807517095
Indi,VIC,ALP,0.2298349149086346
Indi,VIC,GRN,0.08560112932319033
Indi,VIC,L/NP,0.4007430789741981
Indi,VIC,ON,0.0545643478942828
Indi,VIC,UAPP,0.026546937495098424
Isaacs,VIC,ALP,0.3408167215018386
Isaacs,VIC,GRN,0.12053212186650097
Isaacs,VIC,L/NP,0.33239281676224625
Isaacs,VIC,ON,0.019037820989477757
Isaacs,VIC,UAPP,0.04248622329968525
Jagajaga,VIC,ALP,0.34315027394969555
Jagajaga,VIC,GRN,0.16191066387306832
Jagajaga,VIC,L/NP,0.30574163150077216
Jagajaga,VIC,ON,0.016496001416472394
Jagajaga,VIC,UAPP,0.030434483233491703
Kooyong,VIC,ALP,0.2621818671488756
Kooyong,VIC,GRN,0.1767500913760268
Kooyong,VIC,L/NP,0.424609968643595
Kooyong,VIC,ON,0.007415885962718581
Kooyong,VIC,UAPP,0.01166727584017852
La Trobe,VIC,ALP,0.27021372959216683
La Trobe,VIC,GRN,0.08986995061142623
La Trobe,VIC,L/NP,0.39215390256001037
La Trobe,VIC,ON,0.037871762244699896
La Trobe,VIC,UAPP,0.05926628852416589
Lalor,VIC,ALP,0.3896218603367375
Lalor,VIC,GRN,0.08914159536295888
Lalor,VIC,L/NP,0.26773392216395253
Lalor,VIC,ON,0.028981507038365995
Lalor,VIC,UAPP,0.05864752967154292
Macnamara,VIC,ALP,0.2866424917851484
Macnamara,VIC,GRN,0.24557355083637292
Macnamara,VIC,L/NP,0.3022321001307996
